name;code
"Sozialberuf";"016.039"
"Helfender Beruf";"016.039"
"Rabbi";"020.034.001"
"Talmudist";"020.017.010"
"Talmudgelehrter";"020.017.010"
"Wissenschaftlicher Mitarbeiter";"014.050.002"
"Wiss. Mitarbeiter";"014.050.002"
"WissenschaftlerIn";"014"
"Wissenschaftler/in";"014"
"Wissenschaftler*in";"014"
"Wissenschaftler:in";"014"
"Holzberuf";"027"
"Holzberuf";"033.001"
"Theater und Ballett, Kleinkunst";"002"
"Landwirtschaft, Fort, Fischerei";"013"
"Bildungssystem";"016"
"Daseinsvorsorge";"017"
"Dienstleistungen";"018"
"Warenhandel";"019"
"Religion und Kult";"020"
"Kunsthandwerk";"021"
"Industrie";"022"
"Sport";"023"
"Film, Funk, Journalistik";"024"
"Justiz, Polizei";"025"
"Häusliche Dienste";"026"
"Halb- und Unterwelt";"028"
"Beamtenapparat";"029"
"Besitz, Geburt, Status";"030"
"Ideologie, Lebensart, Engagement";"031"
"Bergbau";"032"
"Handwerk";"033"
"Musik";"004"
"Legenden, literarische Figuren";"034"
"IT";"037"
"Bildende Kunst";"005"
"Druck, Papier";"006"
"Fertigung Glas";"009"
"Herrschaft, Politik";"010"
"Heilkunst, Pflege, Gesundheit";"011"
"Architektur und Bau";"012"
"Dravidologe";"014.008.001.015"
"Drawidologe";"014.008.001.015"
"Industrieelektriker";"022.019.006.003"
"Industrieelektriker";"022.019.002.002"
"Industrieelektrikerin";"022.019.010.001"
"Industrieelektrikerin";"022.019.002.010"
"Molekularbiologe";"014.005.023.007.014"
"Molekularbiologe";"014.001.020.011"
"Humangenetiker";"014.001.020.010.001"
"Berufsschauspielerin";"002.054.002.506"
"Berggeschworner";"010.008.035"
"Berggeschworner";"010.008.047.001"
"Berggeschworner";"032.100.001"
"Berggeschworner";"032.100.011.001"
"Berggeschworener";"010.008.035"
"Berggeschworener";"010.008.047.001"
"Berggeschworener";"032.100.001"
"Berggeschworener";"032.100.011.001"
"Bauingenieurin";"038.002.002"
"Denkmalpfleger";"010.008.100"
"Denkmalpflegerin";"029.001"
"Denkmalpflegerin";"010.070.100"
"Architekturhistoriker";"014.542.750.001"
"Architekturhistorikerin";"014.005.014.021.001"
"Priorin";"020.001"
"Pflanzenphysiologe";"014.001.020.001.003"
"Pflanzenphysiologin";"014.040.026.003.001"
"Sozialbetreuungsberuf";"016.039.002"
"Paläontologin";"014.040.029.003"
"Paläontologin";"014.005.024.002.001"
"Mechatronikerin";"022.019.003"
"Kfz-Mechatronikerin";"022.019.003.001"
"Kraftfahrzeugmechatronikerin";"022.019.003.001"
"Gesundheitsökonom";"014.611.746"
"Gesundheitsökonomin";"014.005.039.002"
"Gesundheitsökonomin";"014.048.002"
"Altertumswissenschaftlerin";"014.005.014.012"
"Berufsmusikerin";"004.004.011"
"Diplom-Sozialpädagogin";"016.025.002.514"
"Diplom-Sozialpädagogin";"016.015.001.513"
"Konferenzdolmetscherin";"003.018.006.001"
"Hydrogeologe";"014.001.023.004.001"
"Diplom-Restauratorin";"033.200"
"Triathletin";"023.005.001.001"
"Mehrkämpferin";"023.005.001"
"Staatsrechtlerin";"025.030.006"
"Staatsrechtlerin";"014.005.016.008"
"Staatsrechtslehrerin";"025.030.006"
"Staatsrechtslehrerin";"014.005.016.008"
"Chronistin";"014.005.014.020"
"Optometrist";"011.001"
"Optometristin";"011.002"
"Pflegewissenschaftler";"011.003"
"Pflegewissenschaftlerin";"011.004"
"Marinesoldatin";"001.001"
"Orgel- und Harmoniumbauerin";"027.012.001"
"Orgel- und Harmoniumbauerin";"033.001.012.014"
"Religionspsychologin";"014.005.027.002"
"FAMI <Weibliche Fachangestellte für Medien- und Informationsdienste>";"022.007.001.009"
"Weibliche Fachangestellte für Medien- und Informationsdienste";"022.007.001.009"
"Russischlehrerin";"016.007.005"
"Aufnahmeleiterin";"024.001"
"Requisiteurin";"024.019.001"
"Requisiteurin";"002.006.001"
"Stuntwoman";"024.019.007.002"
"Bildtechnikerin";"024.002"
"Wissenschaftshistorikerin";"014.005.014.015"
"Tanztherapeutin";"011.049.001.005"
"Medienhistoriker";"014.565.744"
"Medienhistoriker";"014.542.740"
"Medienhistorikerin";"014.027.001"
"Medienhistorikerin";"014.005.014.008"
"Medienhistorikerin";"014.005.020.001"
"Romologe";"014.008.001.043"
"Romologin";"014.005.026.029"
"Ichthyologe";"014.005.023.007.019"
"Ichthyologe";"014.001.020.007"
"Sozialanthropologe";"014.038.810"
"Sozialanthropologin";"014.005.012.001.810"
"Ethnosoziologe";"014.039.801"
"Ethnosoziologe";"014.038.801"
"Ethnosoziologin";"014.005.012.001.800"
"Textilkünstler";"005.001.004"
"Textilkünstlerin";"005.002.007"
"Eiskunstläuferin";"023.005.025"
"Eiskunstläufer";"023.003.025"
"Kommunikationsdesignerin";"005.010.002"
"Keltologe";"014.008.001.029"
"Keltologin";"014.005.026.016"
"Kaukasiologe";"014.008.001.018"
"Kaukasist";"014.008.001.018"
"Kaukasistin";"014.005.026.024"
"Patrologe";"020.017.003"
"Patristiker";"020.017.003"
"Patrologin";"020.036.004"
"Patristikerin";"020.036.004"
"Übungsleiterin";"023.010.001"
"Hymnologe";"014.008.001.046"
"Ziviltechnikerin";"038.002.004"
"Beratende Ingenieurin";"038.002.004"
"Verkehrsleiter";"036.032.001"
"Sexologin";"014.005.029"
"Sexualforscherin";"014.005.029"
"Sexuologin";"014.005.029"
"Sexualwissenschaftlerin";"014.005.029"
"Trickfilmanimator";"024.008.001"
"Trickfilmer";"024.008.001"
"Trickfilmzeichner";"024.008.001"
"Animator <Film>";"024.008.001"
"Trickfilmanimatorin";"024.019.002"
"Trickfilmerin";"024.019.002"
"Trickfilmzeichnerin";"024.019.002"
"Animatorin <Film>";"024.019.002"
"Tonassistent";"024.008.002"
"Tonassistentin";"024.019.001"
"Stunt Coordinator";"024.008.001"
"Stuntcoordinator";"024.008.001"
"Stunt-Koordinator";"024.008.001"
"Stuntkoordinator";"024.008.001"
"Stunt Coordinator <Frau>";"024.019.002"
"Stuntcoordinator <Frau>";"024.019.002"
"Stunt-Koordinatorin";"024.019.002"
"Stuntkoordinatorin";"024.019.002"
"Kameraassistent";"024.008.002"
"Kameraassistentin";"024.019.003"
"Produktionsassistent";"024.008.003"
"Produktionsassistentin";"024.019.004"
"Beleuchter";"002.018.011.001"
"Beleuchterin";"002.018.011.002"
"Garderobier";"018.001"
"Garderobiere";"018.002"
"Filmtiertrainer";"024.008.004"
"Filmtiertrainerin";"024.019.005"
"Modezeichnerin";"008.570"
"Seifensieder";"033.005.013"
"Theateragentin";"002.006.009"
"Einzelhandelskauffrau";"018.156"
"Einzelhandelskauffrau";"018.118.001"
"Einzelhandelskauffrau";"019.119.004.004"
"Kauffrau im Einzelhandel";"018.156"
"Kauffrau im Einzelhandel";"018.118.001"
"Kauffrau im Einzelhandel";"019.119.004.004"
"Generalinquisitor";"022.065.001"
"Generalinquisitor";"020.065.001"
"Großinquisitor";"022.065.001"
"Großinquisitor";"020.065.001"
"Landschaftsplaner";"012.001"
"Landschaftsplanerin";"012.002"
"Theologe / Lutherische Kirche";"020.017.008"
"Lutherischer Theologe";"020.017.008"
"Theologin / Lutherische Kirche";"020.036.002"
"Lutherische Theologin";"020.036.002"
"Mundartforscherin";"014.005.026.040"
"Dialektologin";"014.005.026.040"
"Ghostwriterin";"003.011.002"
"Schattenriss / Künstlerin";"005.002.008"
"Silhouettenkünstlerin";"005.002.008"
"Silhouettistin";"005.002.008"
"Schattenrisskünstlerin";"005.002.008"
"Trapperin";"013.003.004.002"
"Postmeisterin";"010.070.012"
"Postmeisterin";"029.008.001"
"Postbeamtin";"010.070.012"
"Postbeamtin";"029.008.001"
"Hypnotherapeut";"028.026"
"Hypnotiseur";"028.026"
"Synchronregisseur";"002.018.003.528.701"
"Dialogregisseur";"002.018.003.528.701"
"Synchronregisseurin";"024.019.008.003"
"Dialogregisseurin";"024.019.008.003"
"Materialassistent";"024.008.002.001"
"Materialassistentin";"024.019.003.001"
"Kameraoperator";"024.008.005"
"Schwenker";"024.008.005"
"Kameraoperateur";"024.008.005"
"Kameraoperatorin";"024.019.006"
