dc_identifier,gnd_identifier,alternate_name,abbreviated_name,place_name,preferred_name,variant_name,related_place_name,production_date,professional_relationship,biographical_information,subject_category,related_subject_heading,geographic_area_code,place_literal,place_gnd_identifier,hierarchical_place_name_literal,address_type,street_address,postal_code,geo_type,latitude,longitude,broader_term_instantial_literal,broader_term_instantial_gnd_identifier
d-UGHDdAoT,None,Dorfkirche,Abbendorf,None,ABBENDORF / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Abbendorf,1127616307,Lkr. Prignitz.,PostalAddress,None,None,GeoCoordinates,,None,Dorfkirche,4070552-3
d-lQ17ZwaP,None,Dorfkirche,Ahrensdorf,None,AHRENSDORF / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Ahrensdorf,1079694633,"Stadt Ludwigsfelde, Lkr. Teltow-Fläming.",PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-zU0LNKmN,None,Dorfkirche,Rietz,None,AHRENSDORF / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Rietz-Neuendorf- Ahrendsorf,new,Lkr. Oder-Spree.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-Q3ti1ygU,None,Ostfriedhof,Ahrensfelde,None,AHRENSFELDE / Ostfriedhof,Ostfriedhof, None,None,Person,None, None,None,None,Ahrensfelde,4620810-0,Lkr. Barnim.,PostalAddress,None,None,GeoCoordinates,None,None,Friedhof,4018537-0
d-BEkIxp7y,None,Kapelle,Allmosen,None,ALLMOSEN / Ev. Kapelle,Ev. Kapelle, None,None,Person,None, None,None,None,Allmosen,10149886-X,"Stadt Großräschen, Lkr. Oberspreewald-Lausitz.",PostalAddress,None,None,GeoCoordinates,None,None,Kapelle,4029551-5
d-PoaXYhB2,None,Dorfkirche,Altbelgern,None,ALTBELGERN / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Altbelgern,106828076X,"Stadt Mühlberg/Elbe, Lkr. Elbe-Elster.",PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-g5ubWL8e,None,Bockwindmühle,Altbelgern,None,ALTBELGERN / Bockwindmühle,Bockwindmühle, None,None,Person,None," Architektur,  Verfahrenstechnik, Technische Chemie",None,None,Altbelgern,106828076X,"Stadt Mühlberg/Elbe, Lkr. Elbe-Elster.",PostalAddress,Elbstr. 6,None,GeoCoordinates,None,None,Bockwindmühle,4146119-8
d-EEv6JxCB,None,Dorfkirche,Alt Bork,None,ALT BORK / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Alt Bork,new,Lkr. Potsdam-Mittelmark.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-LOFavnoZ,None,Pfarrkirche,Altdöbern,None,ALTDÖBERN / Ev. Pfarrkirche,Ev. Pfarrkirche, None,None,Person,None, None,None,None,Altdöbern,4321151-3,Lkr. Oberspreewald-Lausitz.,PostalAddress,None,None,GeoCoordinates,None,None,Kirchenbau,4073436-5
d-3bKZsXGm,None,Dorfkirche,Altenau,None,ALTENAU / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Altenau,1132219574,"Stadt Mühlberg/Elbe, Lkr. Elbe-Elster.",PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-6uDIdlzY,None,Stadtpfarrkirche Marien,Altlandsberg,None,ALTLANDSBERG / Ev. Stadtpfarrkirche St. Marien,Ev. Stadtpfarrkirche St. Marien, None,None,Person,None, None,None,None,Altlandsberg,4347442-1,Lkr. Märkisch-Oderland.,PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-9oUqWQ89,None,Dorfkirche,Alt Madlitz,None,ALT MADLITZ / Ev. Dorfkirche,Ev. Dorfkirche, None,None,Person,None, Architektur,None,None,Alt Madlitz,1202575269,Lkr. Oder-Spree.,PostalAddress,None,None,GeoCoordinates,None,None,Dorfkirche,4070552-3
d-evcJYkXx,None,Herrenhaus,Alt Madlitz,None,ALT MADLITZ / Herrenhaus,Herrenhaus, None,None,Person,None, Architektur,None,None,Alt Madlitz,1202575269,Lkr. Oder-Spree.,PostalAddress,None,None,GeoCoordinates,None,None,Herrenhaus,4024581-0
d-7Wua3ZlQ,None,Landschaftspark,Alt Madlitz,None,ALT MADLITZ / Landschaftspark,Landschaftspark, None,None,Person,None, None,None,None,Alt Madlitz,1202575269,Lkr. Oder-Spree.,PostalAddress,None,None,GeoCoordinates,None,None,Landschaftspark,4513088-7
d-ocd21Odu,None,Pfarrkirche Nikolai,Neuruppin,None,ALT RUPPIN / Ev. Pfarrkirche St. Nikolai,Ev. Pfarrkirche St. Nikolai, None,None,Person,None, None,None,None,Neuruppin- Alt Ruppin,4355516-0,"Stadt Neuruppin, Lkr. Ostprignitz-Ruppin.",PostalAddress,None,None,GeoCoordinates,None,None,Pfarrkirche,4136603-7
d-n7HAXW3A,None,Amtshaus,Neuruppin,None,ALT RUPPIN / Amtshaus,Amtshaus, None,None,Person,None, None,None,None,Neuruppin- Alt Ruppin,4355516-0,"Stadt Neuruppin, Lkr. Ostprignitz-Ruppin.",PostalAddress,Friedrich-Engels-Str. 33 a,None,GeoCoordinates,None,None,Amtsgebäude,4557953-2
d-gKHPqyxt,None,Villa Kosmack,Neuruppin,None,ALT RUPPIN / Villa Kosmack,Villa Kosmack, None,None,Person,None, None,None,None,Neuruppin- Alt Ruppin,4355516-0,"Stadt Neuruppin, Lkr. Ostprignitz-Ruppin.",PostalAddress,Friedrich-Engels-Str. 1,None,GeoCoordinates,None,None,Villa,4063532-6
d-LzpAsKtp,None,Schule,Neuruppin,None,ALT RUPPIN / Schule,Schule, None,None,Person,None, None,None,None,Neuruppin- Alt Ruppin,4355516-0,"Stadt Neuruppin, Lkr. Ostprignitz-Ruppin.",PostalAddress,Weinberg 1,None,GeoCoordinates,None,None,Schulgebäude,4216380-8
d-7FxXtno3,None,Herrenhaus Neumühle,Neuruppin,None,ALT RUPPIN / Herrenhaus Neumühle,Herrenhaus Neumühle, None,None,Person,None, None,None,None,Neuruppin- Alt Ruppin,4355516-0,"Stadt Neuruppin, Lkr. Ostprignitz-Ruppin.",PostalAddress,None,None,GeoCoordinates,None,None,Herrenhaus,4024581-0
