index,dc_id,forename,surname,personal_name,name_addition,prefix,counting,gender,birth_date,death_date,non_preferred_name_surname,birth_place,death_place,period_of_activity_start,period_of_activity_end,profession
16,Q1033,Augustin Freiherr von und zu Schleuse,Schleuse,None,None,None,None,None,None,None,von der Schleiß,Not Described,Not Described,None,None,Senior des Fürststifts Kempten
23,Q105,Gottfried Christoph ,Bernigau,None,None,None,None,None,1760-01-01,None,None None,MühlhausenThüringen,Not Described,None,None,None
24,Q1050,Friedrich ,Schmidt,None,None,None,None,None,1757-07-12,1812-01-01,None None,Lorch,Not Described,None,None,Amtsschreiber
35,Q1066,Carl Adolph von ,Schönberg,None,None,None,None,None,1746-01-01,None,None None,Bautzen,Not Described,None,None,"Domherr, Dompropst"
36,Q1068,Johann Nepomuk Freiherr von ,Schönprunn,None,None,None,None,None,None,None,None None,Not Described,Not Described,None,None,Hauptmann
49,Q1084,Johann Friedrich Wilhelm ,Schultz,None,None,None,None,None,None,None,None None,Aachen,Not Described,None,None,"Hofrat, Statthalter"
50,Q1085,Johann Heinrich ,Schultz,None,None,None,None,None,1740-12-24,None,None None,Hamburg,Not Described,None,None,"Kaufmann, Tabakfabrikant, Tabakhändler"
51,Q1089,NN ,Schwab,None,None,None,None,None,None,None,None None,Not Described,Not Described,None,None,"Advokat, Regierungsregistrator"
52,Q109,Franz Ignaz ,Beutter,None,None,None,None,None,None,1798-01-01,None None,Not Described,Konstanz,None,None,"Stadtrat, Student"
53,Q1090,None,Schwabe,None,None,None,None,None,None,None,None None,Not Described,Not Described,None,None,Oberlieutenant
54,Q1096,Goswin ,Schweickhard,None,None,None,None,None,1743-01-01,None,None None,Not Described,Not Described,None,None,"Kapitular, Kustos, Priester"
55,Q1097,Joseph ,Schweickhard,None,None,None,None,None,1744-12-20,None,None None,Mainz,Not Described,None,None,Hofgerichtsrat
56,Q110,Andreas Georg Maria ,Bianchi,None,None,None,None,None,1746-07-16,1814-10-09,None None,Brienno bei Como,Rudolstadt,None,None,Handelsmann
57,Q1100,Johann Heinrich ,Schwick,None,None,None,None,None,1759-01-01,None,None None,Not Described,Not Described,None,None,"Kaufmann, Komptoirbedienter"
58,Q1107,Jost Christian ,von Seemen,None,None,None,None,None,1734-03-11,None,None None,Wickerode,Not Described,None,None,"Major, Werbeoffizier"
59,Q1108,NN ,Segner,None,None,None,None,None,None,None,None None,Not Described,Not Described,None,None,Student
60,Q1109,Leonhard ,Seiler,None,None,None,None,None,None,None,None None,Not Described,Not Described,None,None,Stadtgerichtsschreiber
61,Q111,Carl Ludwig ,von Bibra,None,None,None,None,None,1749-10-22,1795-01-01,None None,Hildburghausen,Not Described,None,None,"Erzieher, Oberstlieutenant"
