Nr,Datenlieferung,Datum Import NDS,uri,url,anzahl,entity,Link auf Dokumentation,Anmerkung,Status,Year
27,Abgebildete Personen ohne GND - Stiftung Schloss Friedenstein Gotha,2020-08-25 ,http://digicult.vocnet.org/terminology/ter02660 ,  ,1157,Person,Zur Dokumentation ,,Approved,2020-08-25 
23,Bauwerke Bremen - DDK,2020-06-10 ,http://digicult.vocnet.org/terminology/ter01993 ,  ,4538,Bauwerk,Zur Dokumentation ,,Approved,2020-06-10 
29,Bauwerke Bremen - LAD Bremen,2020-11-04 ,http://digicult.vocnet.org/terminology/ter01994 ,  ,2016,Bauwerk,Zur Dokumentation ,,Approved,2020-11-04 
36,Bibliotheksservice-Zentrum Baden-Württemberg (BSZ) / MusIS 2020 Q4 (Originale Lieferdaten),2020-12-18 ,http://digicult.vocnet.org/terminology/ter02902 ,http://gnd4c.digicult-verbund.de/files/delivery_data/Q_H-ter02900_ter02902_ter02903_gnd4c-personen_toolbox-test_querschnitt.xml,153,Person,,,Approved,2020-12-18 
37,Bibliotheksservice-Zentrum Baden-Württemberg (BSZ) / MusIS 2020 Q4 (Pre Processing),2020-12-18,http://digicult.vocnet.org/terminology/ter02903,http://gnd4c.digicult-verbund.de/files/delivery_data/Q_H-ter02900_ter02902_ter02903_gnd4c-personen_toolbox-test_querschnitt.xml,153,Person,,,In Progress,2020-12-18
13,Geodatei - DDK,2020-01-06 ,http://digicult.vocnet.org/terminology/ter01949 ,  ,27072,Geografika,Zur Dokumentation ,,Approved,2020-01-06 
17,Geodaten - LAD Bremen,2020-01-06 ,http://digicult.vocnet.org/terminology/ter02377 ,  ,1641,Geografika,Zur Dokumentation ,,Approved,2020-01-06 
15,Künstlerdatei - DDK,2020-01-10 ,http://digicult.vocnet.org/terminology/ter01989 ,  ,98747,Person,Zur Dokumentation ,,Approved,2020-01-10 
20,Künstlerdatei - LAD Bremen,2020-06-02,http://digicult.vocnet.org/terminology/ter02485,,327,Person,Zur Dokumentation,,Approved,2020-06-02
48,Landesbibliothek Schleswig-Holstein 2021 Q3 (Originale Lieferdaten),2021-06-29,http://digicult.vocnet.org/terminology/ter03223,http://gnd4c.digicult-verbund.de/files/delivery_data/quelldaten_ter03222_ter03223_ter03224_Landesbibliothek_SH.xml,1550,Person,,"Daten aus digiCULT.web-SH. Die Daten wurden ursprünglich aus DokBase nach dCw impotiert. Nur Datensätze mit mindestens Vorname, Nachname, personalName. Keine Datenätze bei denen in digiCULT.web nur displayName verwendet wird. ",In Progress,2021-06-29
49,Landesbibliothek Schleswig-Holstein 2021 Q3 (Pre Processing),2021-06-29,http://digicult.vocnet.org/terminology/ter03224,http://gnd4c.digicult-verbund.de/files/delivery_data/quelldaten_ter03222_ter03223_ter03224_Landesbibliothek_SH.xml,1550,Person,,,Approved,2021-06-29
34,Landesmuseum Württemberg 2020 Q4 (Originale Lieferdaten),2020-12-18 ,http://digicult.vocnet.org/terminology/ter02898 ,http://gnd4c.digicult-verbund.de/files/delivery_data/Q_H-ter02897_ter02898_ter02899_lmw-personen_2020-09-19_trafo_2020-09-19.xml ,6975,Person,,,Approved,2020-12-18 
35,Landesmuseum Württemberg 2020 Q4 (Pre-Processing),2020-12-18 ,http://digicult.vocnet.org/terminology/ter02899 ,http://gnd4c.digicult-verbund.de/files/delivery_data/Q_H-ter02897_ter02898_ter02899_lmw-personen_2020-09-19_trafo_2020-09-19.xml,6975,Person,,,In Progress,2020-12-18 
30,Linden Museum 2020 Q4 (Originale Lieferdaten),2020-12-18 ,http://digicult.vocnet.org/terminology/ter02892 ,http://gnd4c.digicult-verbund.de/files/delivery_data/Q_H-ter02891_ter02892_ter02893_lim-personen_2020-08-24_trafo_2020-09-19.xml,433,Person,,,Approved,2020-12-18 
31,Linden Museum 2020 Q4 (Pre-Processing),2020-12-18 ,http://digicult.vocnet.org/terminology/ter02893 ,http://gnd4c.digicult-verbund.de/files/delivery_data/Q_H-ter02891_ter02892_ter02893_lim-personen_2020-08-24_trafo_2020-09-19.xml,433,Person,,,In Progress,2020-12-18 
32,Ministerium 2020 Q4 (Originale Lieferdaten) - MWK-Landeskunst-sammlung,2020-12-18 ,http://digicult.vocnet.org/terminology/ter02895 ,http://gnd4c.digicult-verbund.de/files/delivery_data/Q_H-ter02894_ter02895_ter02896_mwk-kuenstler_2020-10-09_trafo_2020-10-09.xml ,3351,Person,,,Approved,2020-12-18 
33,Ministerium 2020 Q4 (Pre-Processing) - MWK-Landeskunst-sammlung,2020-12-18 ,http://digicult.vocnet.org/terminology/ter02896 ,http://gnd4c.digicult-verbund.de/files/delivery_data/Q_H-ter02894_ter02895_ter02896_mwk-kuenstler_2020-10-09_trafo_2020-10-09.xml ,3351,Person,,,In Progress,2020-12-18 
19,Numismatische Personen - Landesmuseum Württemberg,2020-01-13 ,http://digicult.vocnet.org/terminology/ter01873 ,  ,1933,Person,Zur Dokumentation ,,Approved,2020-01-13 
14,Objektbezeichnungsdatei - Landesstelle für die nichtstaatlichen Museen in Bayern,2020-01-08 ,http://digicult.vocnet.org/terminology/ter01991 ,  ,7314,Sachbegriff,Zur Dokumentation ,Import OBG (Release 2020-01-06) aus xTree in den NDS. Berücksichtigte Datenelemente: - Bezeichnungen -- Qualifier als eigenes Attribut - Freigegebene Notes - Mappings - verknüpfte Bilder - Über- + untergeordnete Vokabularelemente,Approved,2020-01-08 
10,Ortsdatensätze des Ortsverzeichnises Niedersachsen - Niedersächsisches Landesarchiv,2019-08-14 09:05:10 ,http://digicult.vocnet.org/terminology/ter01788 ,  ,17044,Geografika,Zur Dokumentation ,,Approved,2019-08-14 09:05:10 
16,Personendatei - DDK,2020-01-13 ,http://digicult.vocnet.org/terminology/ter01990 ,  ,3457,Person,Zur Dokumentation ,,Approved,2020-01-13 
7,"Personendatei - Linden-Museum Stuttgart, Staatliches Museum für Völkerkunde",2019-03-19 16:35:38 ,http://digicult.vocnet.org/terminology/ter01617 ,  ,334,Person,Zur Dokumentation ,,Obsolete,2019-03-19 16:35:38 
